number,model,rating,offer_price,original_price,price_difference
116,google pixel 3 xl (black 64 gb 4 gb ram),4,83000.00,83000.00,0.0
117,google pixel 3 xl (not pink 128 gb 4 gb ram),0,92000.00,92000.00,0.0
118,google pixel 3 xl (not pink 64 gb 4 gb ram),0,83000.00,83000.00,0.0
119,google pixel 3 xl (white 64 gb 4 gb ram),4,83000.00,83000.00,0.0
120,google pixel 3 (not pink 128 gb 4 gb ram),4,80000.00,80000.00,0.0
121,google pixel 3 (not pink 64 gb 4 gb ram),4,71000.00,71000.00,0.0
122,google pixel 3 (white 128 gb 4 gb ram),4,80000.00,80000.00,0.0
123,google pixel 3 (white 64 gb 4 gb ram),4,71000.00,71000.00,0.0
124,google pixel 3 xl (black 128 gb 4 gb ram),4,92000.00,92000.00,0.0
125,lg tone infinim hbs-920 premium bluetooth wireless stereo headset (black),4,6999.00,8000.00,1001.0
126,blackberry key2 (black 64 gb 6 gb ram),4,42990.00,47990.00,5000.0
127,lg tone infinim hbs-920 premium bluetooth wireless stereo headset (silver),4,6999.00,8000.00,1001.0
128,giftcard huawei mate 20 pro,4,1000.00,1000.00,0.0
129,giftcard redmi 6 pro,0,1000.00,1000.00,0.0
130,giftcard redmi 6,0,1000.00,1000.00,0.0
131,scratchgard tempered glass screen protector for samsung galaxy a7 2018 (clear),0,299.00,799.00,500.0
132,giftcard redmi 6a,0,1000.00,1000.00,0.0
133,scratchgard tempered glass screen protector for samsung galaxy j4 plus (clear),0,299.00,799.00,500.0
134,scratchgard tempered glass screen protector for samsung galaxy j6 plus (clear),0,299.00,799.00,500.0
135,stuffcool tres 150 cm sync and charge cable with usb connectors (white),0,1294.00,1699.00,405.0
136,blackberry evolve (black 64 gb 4 gb ram),0,20990.00,29990.00,9000.0
137,lenovo spectra hx03f fitness band (black/blue),0,2299.00,2999.00,700.0
138,redmi mi band 3 (black),4,1999.00,2199.00,200.0
139,lenovo hx06 active fitness band (black),0,1299.00,1999.00,700.0
140,neopack 2.5d scratch resistant premium tempered glass for 24.638 cm ipad (transparent),0,1199.00,1990.00,791.0
141,samsung galaxy s9 plus (red 64 gb 6 gb ram),4,57900.00,70000.00,12100.0
142,safehouse bodyguard personal mobile security,0,599.00,599.00,0.0
143,sony wh-1000xm3 wireless noise cancelling headphones (black),4,29990.00,29990.00,0.0
144,samsung galaxy a7 (blue 128 gb 6 gb ram),4,22990.00,29990.00,7000.0
145,leather talks wallet power bank 2000mah (lt/sr/003 brown),0,2990.00,3595.00,605.0
146,leather talks wallet power bank 2000mah (lt/sr/003 black),0,2990.00,3595.00,605.0
147,samsung galaxy j6 plus (red 64 gb 4 gb ram),4,12990.00,17000.00,4010.0
148,samsung galaxy j6 plus (black 64 gb 4 gb ram),4,12990.00,17000.00,4010.0
149,bose noise-masking sleepbuds (white),4,22900.00,22900.00,0.0
150,samsung j4 plus (gold 32 gb 2 gb ram),4,8490.00,12000.00,3510.0
151,samsung galaxy j6 plus (blue 64 gb 4 gb ram),4,12990.00,17000.00,4010.0
152,samsung j4 plus (black 32 gb 2 gb ram),4,8490.00,12000.00,3510.0
153,apple watch series 3 (gps) 4.2 cm space gray aluminum case with black sport band,4,31900.00,31900.00,0.0
154,apple watch series 4 (gps) 4.4 cm space gray aluminum case with black sport band,4,43900.00,43900.00,0.0
155,apple watch series 4 (gps) 4.0 cm space gray aluminum case with black sport band,4,40900.00,40900.00,0.0
156,apple watch series 4 (gps + cellular) 4.4 cm space gray aluminum case with black sport loop,4,52900.00,52900.00,0.0
157,apple watch series 4 (gps + cellular) 4.4 cm space gray aluminum case with black sport band,4,52900.00,52900.00,0.0
158,apple watch series 4 (gps + cellular) 4.0 cm space gray aluminum case with black sport loop,4,49900.00,49900.00,0.0
159,apple watch series 4 (gps + cellular) 4.0 cm space gray aluminum case with black sport band,4,49900.00,49900.00,0.0
160,redmi redmi 6a (black 16 gb 2 gb ram),4,6299.00,6999.00,700.0
161,redmi redmi 6a (black 32 gb 2 gb ram),4,6799.00,7999.00,1200.0
162,redmi redmi 6a (rose gold 16 gb 2 gb ram),4,6299.00,6999.00,700.0
163,apple silicone back case cover for iphone xs max (pink),0,3500.00,3500.00,0.0
164,redmi redmi 6a (gold 32 gb 2 gb ram),4,6799.00,7999.00,1200.0
165,apple leather back case cover for iphone xs max (midnight blue),0,4500.00,4500.00,0.0
166,apple silicone back case cover for iphone xs (pink),0,3500.00,3500.00,0.0
167,apple leather back case cover for iphone xs max (black),0,4500.00,4500.00,0.0
168,apple leather back case cover for iphone xs (brown),0,4500.00,4500.00,0.0
